epoch,loss,mae,mix_ssim_3d_mae_loss,mse,ssim_3d_loss,val_loss,val_mae,val_mix_ssim_3d_mae_loss,val_mse,val_ssim_3d_loss
0,0.2742461860179901,0.2742461860179901,0.5079944729804993,0.18793132901191711,0.7417428493499756,0.4130968153476715,0.4130968451499939,0.688442051410675,0.21337787806987762,0.9637873768806458
1,0.17969483137130737,0.17969484627246857,0.3628782033920288,0.07834193855524063,0.5460615754127502,0.3161814510822296,0.3161814510822296,0.5111702084541321,0.11855283379554749,0.7061590552330017
2,0.07356104254722595,0.07356103509664536,0.17526458203792572,0.011706121265888214,0.2769681513309479,0.1728634238243103,0.1728634238243103,0.25576141476631165,0.03978387266397476,0.3386594355106354
3,0.0675576701760292,0.0675576776266098,0.15101496875286102,0.01001723762601614,0.23447225987911224,0.10395529866218567,0.10395529866218567,0.15362967550754547,0.017374563962221146,0.20330405235290527
4,0.062264323234558105,0.062264326959848404,0.13693946599960327,0.008725939318537712,0.21161456406116486,0.07899635285139084,0.07899635285139084,0.12599743902683258,0.011078438721597195,0.17299850285053253
5,0.06169259175658226,0.06169259175658226,0.13222679495811462,0.00872312393039465,0.20276102423667908,0.07445890456438065,0.07445890456438065,0.12182430177927017,0.009806984104216099,0.16918973624706268
6,0.05709482356905937,0.05709482356905937,0.11724986881017685,0.007729287259280682,0.17740492522716522,0.072115458548069,0.072115458548069,0.12017322331666946,0.009489172138273716,0.16823099553585052
7,0.05529734864830971,0.05529734864830971,0.11170399188995361,0.007459745276719332,0.16811060905456543,0.07488235831260681,0.07488235831260681,0.12164553999900818,0.00985356792807579,0.16840873658657074
8,0.055860113352537155,0.055860113352537155,0.1115398034453392,0.007411797996610403,0.16721948981285095,0.07679100334644318,0.07679100334644318,0.12226396054029465,0.010069996118545532,0.16773690283298492
9,0.054230332374572754,0.054230332374572754,0.10569752752780914,0.007130157668143511,0.15716473758220673,0.07296614348888397,0.07296614348888397,0.11839746683835983,0.009477134793996811,0.1638287752866745
10,0.05268416181206703,0.05268416181206703,0.09932231903076172,0.006888846401125193,0.1459604650735855,0.07372055947780609,0.07372055947780609,0.11931999772787094,0.009757746011018753,0.1649194210767746
11,0.05327410250902176,0.05327409505844116,0.10109618306159973,0.006979840341955423,0.1489183008670807,0.07115728408098221,0.07115728408098221,0.11840205639600754,0.009265805594623089,0.16564683616161346
