epoch,loss,mae,mix_ssim_3d_mae_loss,mse,ssim_3d_loss,val_loss,val_mae,val_mix_ssim_3d_mae_loss,val_mse,val_ssim_3d_loss
0,0.2724369466304779,0.2724369764328003,0.41620346903800964,0.736804723739624,0.559969961643219,0.08667612820863724,0.08667612820863724,0.20843687653541565,0.012512053363025188,0.3301975727081299
1,0.07171205431222916,0.07171204686164856,0.16048572957515717,0.014277665875852108,0.2492593675851822,0.06793057173490524,0.06793057173490524,0.12406430393457413,0.008218861185014248,0.1801980435848236
2,0.05887250229716301,0.05887250229716301,0.11898339539766312,0.010798124596476555,0.1790943145751953,0.06506992876529694,0.06506992876529694,0.11588755995035172,0.008636398240923882,0.1667051762342453
3,0.05575588345527649,0.05575588718056679,0.11710747331380844,0.008426200598478317,0.17845909297466278,0.0690525472164154,0.0690525472164154,0.13077561557292938,0.008991734124720097,0.19249871373176575
4,0.0521676242351532,0.0521676242351532,0.1092606782913208,0.006941178813576698,0.1663537174463272,0.06840173155069351,0.06840173155069351,0.13203415274620056,0.008712256327271461,0.19566656649112701
5,0.05325930193066597,0.053259313106536865,0.1126231700181961,0.006785148289054632,0.17198702692985535,0.08984117209911346,0.08984117209911346,0.1892968714237213,0.012993909418582916,0.28875261545181274
6,0.05120113492012024,0.05120113119482994,0.10536082088947296,0.00659280177205801,0.1595204919576645,0.058785296976566315,0.058785296976566315,0.1082228273153305,0.006837460678070784,0.1576603800058365
7,0.049561936408281326,0.049561940133571625,0.09885606169700623,0.006170040927827358,0.14815019071102142,0.05826829746365547,0.05826829746365547,0.10724897682666779,0.006894134916365147,0.1562296599149704
8,0.04854190722107887,0.04854191467165947,0.0959063321352005,0.006018574349582195,0.14327077567577362,0.057134319096803665,0.057134319096803665,0.10496683418750763,0.006689203437417746,0.15279936790466309
9,0.04771650955080986,0.04771650955080986,0.09325814247131348,0.005941531155258417,0.1387997716665268,0.056992508471012115,0.05699250474572182,0.10458312928676605,0.006635541096329689,0.15217375755310059
