epoch,loss,mae,mix_ssim_3d_mae_loss,mse,ssim_3d_loss,val_loss,val_mae,val_mix_ssim_3d_mae_loss,val_mse,val_ssim_3d_loss
0,0.31936022639274597,0.31936025619506836,0.43847793340682983,0.7739099264144897,0.5575957298278809,0.126459538936615,0.126459538936615,0.26301881670951843,0.024236954748630524,0.39957812428474426
1,0.09388811141252518,0.09388810396194458,0.19120177626609802,0.025158759206533432,0.2885154187679291,0.06360439956188202,0.06360439956188202,0.10709557682275772,0.008036388084292412,0.15058672428131104
2,0.0773940309882164,0.0773940235376358,0.15161950886249542,0.02022974193096161,0.22584494948387146,0.06686729192733765,0.06686729192733765,0.12362311780452728,0.00867412518709898,0.18037894368171692
3,0.07048951834440231,0.07048951834440231,0.12694059312343597,0.018207356333732605,0.18339169025421143,0.07331758737564087,0.07331758737564087,0.14507043361663818,0.009901255369186401,0.2168232649564743
4,0.0674748495221138,0.0674748495221138,0.12274709343910217,0.01633857935667038,0.17801931500434875,0.06727562099695206,0.06727562099695206,0.11613412201404572,0.010036781430244446,0.16499260067939758
5,0.06545531749725342,0.06545531749725342,0.11747337877750397,0.015610319562256336,0.1694914549589157,0.06604526191949844,0.06604526191949844,0.10561449825763702,0.012107511050999165,0.145183727145195
6,0.06374993920326233,0.06374993175268173,0.11408029496669769,0.014645183458924294,0.16441066563129425,0.06787582486867905,0.06787582486867905,0.10622773319482803,0.013644649647176266,0.14457964897155762
7,0.06060674041509628,0.06060674414038658,0.10650146752595901,0.013866612687706947,0.15239621698856354,0.0728534385561943,0.0728534385561943,0.1213143914937973,0.014606915414333344,0.1697753369808197
8,0.060396768152713776,0.06039676442742348,0.10538363456726074,0.013714710250496864,0.1503705084323883,0.074274942278862,0.074274942278862,0.124309241771698,0.015008701011538506,0.1743435561656952
9,0.060842759907245636,0.06084275245666504,0.10705754160881042,0.013564866036176682,0.15327231585979462,0.06972921639680862,0.06972921639680862,0.10976345837116241,0.0141433821991086,0.1497977077960968
10,0.06033739820122719,0.06033738702535629,0.11052592098712921,0.01250112522393465,0.16071444749832153,0.06498701125383377,0.06498701125383377,0.10861609876155853,0.011222576722502708,0.1522451937198639
11,0.05597512423992157,0.05597512423992157,0.10238878428936005,0.010835312306880951,0.14880241453647614,0.05869748070836067,0.05869748070836067,0.10214962065219879,0.007064072415232658,0.14560174942016602
12,0.05164742469787598,0.05164742469787598,0.09689832478761673,0.007455891463905573,0.1421492099761963,0.06420935690402985,0.06420935690402985,0.11877511441707611,0.007744950242340565,0.17334087193012238
13,0.04779146984219551,0.047791462391614914,0.08994970470666885,0.005985944997519255,0.13210797309875488,0.05922670289874077,0.05922670289874077,0.10338014364242554,0.007082558702677488,0.14753358066082
14,0.046618103981018066,0.04661810025572777,0.08856906741857529,0.005747891031205654,0.1305200308561325,0.05706894397735596,0.05706894397735596,0.09778998792171478,0.006733303423970938,0.1385110318660736
15,0.04768171161413193,0.047681715339422226,0.09051600098609924,0.005835834424942732,0.13335028290748596,0.058066267520189285,0.058066267520189285,0.10464843362569809,0.006745883263647556,0.1512306034564972
16,0.04859955608844757,0.048599548637866974,0.09134107828140259,0.006077527068555355,0.13408263027668,0.05990508943796158,0.05990508571267128,0.10300252586603165,0.007227553054690361,0.1460999697446823
17,0.04567885026335716,0.04567885398864746,0.08397269248962402,0.005573572125285864,0.12226653844118118,0.05809897929430008,0.05809897929430008,0.10178478807210922,0.006908040028065443,0.14547060430049896
18,0.04756084829568863,0.047560855746269226,0.0874333530664444,0.005889852065593004,0.12730586528778076,0.058679986745119095,0.058679986745119095,0.1011238843202591,0.006967436522245407,0.1435677707195282
19,0.04712614044547081,0.04712613672018051,0.08708911389112473,0.005802900996059179,0.12705208361148834,0.05691147968173027,0.05691147968173027,0.09735716134309769,0.006734937429428101,0.1378028243780136
20,0.046487025916576385,0.046487025916576385,0.08416424691677094,0.00573326088488102,0.12184149026870728,0.056094180792570114,0.056094180792570114,0.09708135575056076,0.006395469419658184,0.1380685269832611
21,0.045967329293489456,0.04596732556819916,0.08117324113845825,0.005591951310634613,0.11637916415929794,0.057339273393154144,0.05733927711844444,0.09918063133955002,0.006521261762827635,0.1410219967365265
22,0.04436011612415314,0.04436011239886284,0.07805369794368744,0.005342178978025913,0.11174728721380234,0.05494145303964615,0.05494144931435585,0.0919923186302185,0.006239198613911867,0.12904319167137146
23,0.04357142746448517,0.04357142746448517,0.07467884570360184,0.005211448762565851,0.10578625649213791,0.054052986204624176,0.05405298247933388,0.09011358767747879,0.006095629185438156,0.1261741816997528
24,0.04381725564599037,0.043817248195409775,0.07628215849399567,0.005232344381511211,0.10874705761671066,0.05366257578134537,0.05366257205605507,0.08850698173046112,0.005981825292110443,0.12335139513015747
25,0.044578298926353455,0.04457830637693405,0.07764524221420288,0.005330252461135387,0.11071216315031052,0.05322987586259842,0.05322987213730812,0.08727177232503891,0.005937573034316301,0.1213136687874794
26,0.04266360402107239,0.04266360402107239,0.07290512323379517,0.005039002280682325,0.10314664244651794,0.052191149443387985,0.052191153168678284,0.08421959728002548,0.005776632577180862,0.11624803394079208
27,0.0439440980553627,0.0439441055059433,0.07536232471466064,0.0052276854403316975,0.1067805364727974,0.05218116194009781,0.05218116194009781,0.08464305102825165,0.0057480065152049065,0.11710493266582489
28,0.041997022926807404,0.041997019201517105,0.07105402648448944,0.004891532473266125,0.10011102259159088,0.05185665935277939,0.05185665935277939,0.08379527926445007,0.0056648715399205685,0.11573390662670135
29,0.043068982660770416,0.043068986386060715,0.07302664965391159,0.005083867348730564,0.10298432409763336,0.05363043397665024,0.053630437701940536,0.08610793948173523,0.00593556510284543,0.11858544498682022
30,0.04245641455054283,0.04245641082525253,0.07209700345993042,0.004962075036019087,0.1017375960946083,0.05423595756292343,0.05423596128821373,0.0852564349770546,0.005974937696009874,0.11627690494060516
